iter	Passed	Remaining
0	0	95
1	1	79
2	2	72
3	2	66
4	3	64
5	4	63
6	4	63
7	5	62
8	6	63
9	6	62
10	7	61
11	8	60
12	8	59
13	9	59
14	10	58
15	11	58
16	11	57
17	12	56
18	13	56
19	13	55
20	14	55
21	15	54
22	16	54
23	16	53
24	17	52
25	18	51
26	18	50
27	20	53
28	21	52
29	22	51
30	22	50
31	23	49
32	24	48
33	24	48
34	25	47
35	26	46
36	26	45
37	27	44
38	28	43
39	28	43
40	29	42
41	29	41
42	30	40
43	31	39
44	31	38
45	32	37
46	32	37
47	33	36
48	34	35
49	35	35
50	35	34
51	36	33
52	37	32
53	37	32
54	38	31
55	39	30
56	39	30
57	40	29
58	41	28
59	42	28
60	42	27
61	43	26
62	44	26
63	44	25
64	45	24
65	46	23
66	46	23
67	47	22
68	48	21
69	48	20
70	49	20
71	50	19
72	51	18
73	51	18
74	52	17
75	53	16
76	54	16
77	54	15
78	55	14
79	56	14
80	56	13
81	57	12
82	58	11
83	58	11
84	59	10
85	60	9
86	60	9
87	61	8
88	62	7
89	62	6
90	63	6
91	64	5
92	64	4
93	65	4
94	66	3
95	68	2
96	69	2
97	69	1
98	70	0
99	71	0
