iter	Passed	Remaining
0	147	147403
1	149	74451
2	150	50165
3	152	37900
4	153	30530
5	154	25600
6	155	22083
7	156	19452
8	158	17405
9	159	15758
10	160	14414
11	161	13335
12	163	12400
13	164	11594
14	165	10892
15	167	10277
16	168	9737
17	169	9243
18	170	8816
19	171	8427
20	173	8072
21	174	7749
22	175	7470
23	177	7209
24	178	6962
25	179	6731
26	180	6512
27	182	6322
28	183	6134
29	184	5963
30	185	5800
31	186	5645
32	187	5504
33	188	5367
34	190	5243
35	191	5126
36	192	5012
37	194	4913
38	195	4808
39	196	4707
40	197	4612
41	198	4527
42	199	4441
43	200	4360
44	201	4282
45	203	4211
46	204	4144
47	205	4077
48	206	4013
49	207	3950
50	209	3890
51	210	3830
52	211	3774
53	212	3718
54	213	3665
55	214	3612
56	215	3562
57	216	3514
58	217	3471
59	218	3427
60	219	3383
61	220	3341
62	221	3299
63	222	3259
64	223	3220
65	224	3183
66	226	3147
67	227	3111
68	228	3077
69	229	3043
70	230	3011
71	231	2980
72	232	2952
73	233	2925
74	234	2896
75	235	2868
76	237	2840
77	238	2814
78	239	2788
79	240	2763
80	241	2737
81	242	2713
82	242	2683
83	243	2659
84	244	2636
85	246	2614
86	247	2601
87	249	2580
88	250	2559
89	251	2538
90	252	2518
91	253	2498
92	254	2482
93	255	2463
94	256	2444
95	257	2425
96	258	2407
97	259	2389
98	260	2371
99	261	2354
100	263	2342
101	264	2327
102	265	2310
103	266	2295
104	267	2280
105	268	2265
106	269	2250
107	270	2236
108	271	2222
109	272	2208
110	274	2194
111	275	2180
112	276	2167
113	277	2154
114	278	2143
115	279	2131
116	280	2119
117	282	2110
118	283	2099
119	284	2088
120	285	2076
121	286	2062
122	287	2051
123	288	2039
124	289	2027
125	290	2016
126	291	2004
127	292	1995
128	294	1987
129	295	1977
130	296	1968
131	297	1959
132	299	1954
133	300	1945
134	302	1935
135	303	1925
136	304	1915
137	305	1905
138	306	1895
139	307	1890
140	309	1883
141	309	1872
142	311	1863
143	312	1855
144	313	1846
145	314	1838
146	315	1829
147	316	1820
148	317	1812
149	318	1803
150	319	1795
151	320	1787
152	321	1779
153	322	1773
154	323	1766
155	325	1759
156	326	1752
157	327	1745
158	328	1738
159	329	1730
160	330	1721
161	331	1713
162	332	1706
163	333	1698
164	334	1691
165	335	1684
166	336	1678
167	337	1673
168	339	1667
169	340	1660
170	341	1654
171	342	1647
172	343	1641
173	344	1634
174	345	1628
175	346	1621
176	347	1615
177	348	1609
178	349	1602
179	350	1596
180	352	1593
181	353	1587
182	354	1581
183	355	1575
184	356	1569
185	357	1563
186	358	1558
187	359	1552
188	360	1546
189	361	1540
190	362	1534
191	363	1529
192	364	1523
193	365	1519
194	367	1515
195	369	1513
196	370	1509
197	371	1505
198	372	1500
199	374	1496
200	375	1492
201	376	1488
202	377	1484
203	379	1479
204	380	1474
205	381	1470
206	382	1465
207	383	1460
208	384	1455
209	385	1450
210	386	1445
211	387	1441
212	388	1436
213	389	1431
214	390	1426
215	391	1421
216	392	1417
217	393	1412
218	394	1408
219	396	1404
220	397	1400
221	398	1396
222	399	1392
223	400	1388
224	401	1384
225	402	1379
226	403	1375
227	404	1370
228	405	1366
229	406	1362
230	407	1358
231	408	1353
232	410	1349
233	411	1346
234	412	1342
235	413	1338
236	414	1333
237	415	1329
238	416	1325
239	417	1321
240	418	1317
241	419	1313
242	420	1309
243	421	1305
244	422	1302
245	423	1298
246	424	1294
247	425	1290
248	426	1287
249	427	1283
250	428	1280
251	429	1276
252	431	1272
253	432	1269
254	433	1266
255	434	1262
256	435	1259
257	436	1255
258	437	1251
259	438	1248
260	439	1244
261	440	1241
262	441	1238
263	443	1235
264	444	1231
265	444	1227
266	445	1224
267	446	1220
268	448	1217
269	449	1214
270	450	1211
271	451	1207
272	452	1204
273	453	1201
274	454	1197
275	455	1194
276	456	1191
277	457	1188
278	458	1185
279	459	1182
280	460	1178
281	461	1175
282	462	1172
283	463	1169
284	464	1166
285	465	1163
286	466	1159
287	467	1156
288	468	1153
289	470	1150
290	471	1148
291	472	1145
292	473	1142
293	474	1139
294	475	1136
295	476	1133
296	477	1130
297	478	1127
298	479	1124
299	481	1122
300	482	1119
301	483	1117
302	484	1115
303	486	1113
304	487	1111
305	488	1108
306	490	1106
307	491	1104
308	493	1102
309	494	1100
310	495	1097
311	496	1095
312	497	1092
313	498	1090
314	500	1088
315	501	1086
316	503	1083
317	504	1081
318	505	1079
319	506	1076
320	507	1074
321	508	1071
322	510	1069
323	511	1066
324	512	1064
325	513	1061
326	514	1059
327	516	1057
328	517	1054
329	518	1052
330	519	1050
331	520	1047
332	522	1045
333	523	1043
334	524	1041
335	526	1039
336	527	1037
337	528	1035
338	530	1033
339	531	1031
340	532	1028
341	533	1026
342	534	1024
343	535	1021
344	537	1019
345	538	1017
346	539	1014
347	540	1012
348	542	1011
349	544	1010
350	545	1009
351	547	1007
352	548	1006
353	555	1013
354	557	1012
355	560	1013
356	561	1011
357	563	1009
358	564	1007
359	565	1006
360	567	1004
361	568	1002
362	570	1000
363	571	998
364	573	998
365	575	997
366	577	995
367	578	993
368	580	992
369	581	990
370	583	988
371	584	986
372	586	985
373	587	984
374	589	982
375	590	979
376	591	977
377	592	975
378	593	973
379	595	970
380	596	968
381	597	966
382	598	964
383	599	962
384	601	960
385	602	958
386	603	956
387	604	954
388	606	952
389	607	950
390	609	949
391	610	947
392	612	946
393	614	944
394	615	943
395	617	941
396	618	938
397	619	936
398	620	934
399	621	932
400	623	930
401	624	928
402	625	927
403	627	925
404	628	923
405	629	920
406	630	919
407	631	916
408	633	914
409	634	913
410	635	911
411	637	909
412	638	907
413	639	905
414	640	903
415	642	901
416	643	899
417	644	897
418	645	895
419	647	893
420	648	891
421	649	889
422	650	887
423	653	888
424	655	886
425	656	884
426	657	882
427	659	880
428	660	878
429	661	876
430	662	874
431	663	872
432	665	870
433	666	868
434	667	866
435	668	864
436	669	862
437	670	860
438	671	858
439	672	856
440	674	854
441	675	852
442	676	850
443	677	848
444	678	846
445	679	844
446	680	841
447	681	839
448	682	837
449	683	835
450	684	833
451	685	831
452	686	829
453	687	826
454	688	825
455	690	823
456	691	821
457	692	819
458	693	817
459	694	815
460	695	813
461	696	811
462	697	809
463	698	807
464	699	805
465	700	803
466	701	801
467	702	799
468	704	797
469	705	795
470	706	793
471	707	791
472	708	789
473	709	787
474	710	785
475	712	783
476	713	781
477	714	779
478	715	777
479	716	776
480	717	774
481	718	772
482	719	770
483	720	768
484	721	766
485	723	764
486	724	762
487	725	761
488	726	759
489	727	757
490	728	755
491	729	753
492	730	751
493	731	749
494	732	747
495	734	745
496	735	744
497	736	742
498	737	740
499	738	738
500	739	736
501	740	734
502	741	732
503	742	730
504	743	728
505	744	726
506	745	724
507	746	722
508	747	720
509	748	719
510	749	717
511	750	715
512	752	713
513	753	712
514	754	710
515	755	708
516	756	706
517	757	705
518	759	703
519	760	701
520	761	699
521	762	697
522	763	696
523	764	694
524	765	692
525	767	691
526	768	689
527	769	687
528	770	685
529	771	684
530	772	682
531	773	680
532	774	678
533	775	676
534	776	674
535	777	673
536	778	671
537	779	669
538	780	667
539	781	665
